"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","QNA"
"PreUnit","£"
"Unit","m"
"Release date","30-09-2020"
"Next release","12 November 2020"
"Important notes",
"1948","365418"
"1949","377558"
"1950","390150"
"1951","404591"
"1952","410688"
"1953","433512"
"1954","452371"
"1955","470517"
"1956","478458"
"1957","487920"
"1958","494469"
"1959","515587"
"1960","548182"
"1961","562843"
"1962","568897"
"1963","596399"
"1964","630411"
"1965","643723"
"1966","653694"
"1967","671765"
"1968","708384"
"1969","721970"
"1970","741420"
"1971","768159"
"1972","801160"
"1973","853211"
"1974","831823"
"1975","819361"
"1976","844053"
"1977","864606"
"1978","900728"
"1979","934253"
"1980","915042"
"1981","908707"
"1982","926621"
"1983","965509"
"1984","987166"
"1985","1027873"
"1986","1060255"
"1987","1117428"
"1988","1181481"
"1989","1211937"
"1990","1220831"
"1991","1207364"
"1992","1212206"
"1993","1242396"
"1994","1290179"
"1995","1322839"
"1996","1355798"
"1997","1423254"
"1998","1476025"
"1999","1524662"
"2000","1578121"
"2001","1621208"
"2002","1656531"
"2003","1711559"
"2004","1750690"
"2005","1802435"
"2006","1850989"
"2007","1894682"
"2008","1889401"
"2009","1811672"
"2010","1849247"
"2011","1872838"
"2012","1899626"
"2013","1941155"
"2014","1996725"
"2015","2043909"
"2016","2079113"
"2017","2115296"
"2018","2141792"
"2019","2168798"
"1955 Q1","116532"
"1955 Q2","116637"
"1955 Q3","118997"
"1955 Q4","118351"
"1956 Q1","119735"
"1956 Q2","119475"
"1956 Q3","119357"
"1956 Q4","119891"
"1957 Q1","122290"
"1957 Q2","122303"
"1957 Q3","121553"
"1957 Q4","121774"
"1958 Q1","124411"
"1958 Q2","121520"
"1958 Q3","124197"
"1958 Q4","124341"
"1959 Q1","125143"
"1959 Q2","127218"
"1959 Q3","129949"
"1959 Q4","133277"
"1960 Q1","136599"
"1960 Q2","135553"
"1960 Q3","137604"
"1960 Q4","138426"
"1961 Q1","140702"
"1961 Q2","141275"
"1961 Q3","140555"
"1961 Q4","140311"
"1962 Q1","140941"
"1962 Q2","142246"
"1962 Q3","143137"
"1962 Q4","142573"
"1963 Q1","143171"
"1963 Q2","149459"
"1963 Q3","150182"
"1963 Q4","153587"
"1964 Q1","154560"
"1964 Q2","157401"
"1964 Q3","158019"
"1964 Q4","160431"
"1965 Q1","159955"
"1965 Q2","160049"
"1965 Q3","161365"
"1965 Q4","162354"
"1966 Q1","162611"
"1966 Q2","163584"
"1966 Q3","164093"
"1966 Q4","163406"
"1967 Q1","165604"
"1967 Q2","167950"
"1967 Q3","168685"
"1967 Q4","169526"
"1968 Q1","175742"
"1968 Q2","175014"
"1968 Q3","178468"
"1968 Q4","179160"
"1969 Q1","178747"
"1969 Q2","180122"
"1969 Q3","181119"
"1969 Q4","181982"
"1970 Q1","180827"
"1970 Q2","185094"
"1970 Q3","186934"
"1970 Q4","188565"
"1971 Q1","187635"
"1971 Q2","190988"
"1971 Q3","194393"
"1971 Q4","195143"
"1972 Q1","195374"
"1972 Q2","200521"
"1972 Q3","201060"
"1972 Q4","204205"
"1973 Q1","214333"
"1973 Q2","214628"
"1973 Q3","212585"
"1973 Q4","211665"
"1974 Q1","205849"
"1974 Q2","208808"
"1974 Q3","210128"
"1974 Q4","207038"
"1975 Q1","207156"
"1975 Q2","203755"
"1975 Q3","203060"
"1975 Q4","205390"
"1976 Q1","208792"
"1976 Q2","208498"
"1976 Q3","211146"
"1976 Q4","215617"
"1977 Q1","215667"
"1977 Q2","214117"
"1977 Q3","215574"
"1977 Q4","219248"
"1978 Q1","221203"
"1978 Q2","223770"
"1978 Q3","226852"
"1978 Q4","228903"
"1979 Q1","228088"
"1979 Q2","238126"
"1979 Q3","232811"
